	unit
Domestic Extraction Used - Non-Metallic Minerals - Gravel and sand	kt
Domestic Extraction Used - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite	kt
Domestic Extraction Used - Non-Metallic Minerals - Other minerals	kt
Domestic Extraction Used - Non-Metallic Minerals - Salt	kt
Domestic Extraction Used - Non-Metallic Minerals - Slate	kt
Domestic Extraction Used - Primary Crops - Kapokseed in Shell	kt
Domestic Extraction Used - Primary Crops - Honey	kt
Domestic Extraction Used - Primary Crops - Beeswax	kt
Domestic Extraction Used - Primary Crops - Abaca	kt
Domestic Extraction Used - Primary Crops - Agave Fibres nes	kt
Domestic Extraction Used - Primary Crops - Almonds	kt
Domestic Extraction Used - Primary Crops - Anise, Badian, Fennel	kt
Domestic Extraction Used - Primary Crops - Apples	kt
Domestic Extraction Used - Primary Crops - Apricots	kt
Domestic Extraction Used - Primary Crops - Arecanuts	kt
Domestic Extraction Used - Primary Crops - Artichokes	kt
Domestic Extraction Used - Primary Crops - Asparagus	kt
Domestic Extraction Used - Primary Crops - Avocados	kt
Domestic Extraction Used - Primary Crops - Bambara beans	kt
Domestic Extraction Used - Primary Crops - Bananas	kt
Domestic Extraction Used - Primary Crops - Barley	kt
Domestic Extraction Used - Primary Crops - Beans, dry	kt
Domestic Extraction Used - Primary Crops - Beans, green	kt
Domestic Extraction Used - Primary Crops - Berries nec	kt
Domestic Extraction Used - Primary Crops - Blueberries	kt
Domestic Extraction Used - Primary Crops - Brazil nuts, with shell	kt
Domestic Extraction Used - Primary Crops - Broad beans, horse beans, dry	kt
Domestic Extraction Used - Primary Crops - Buckwheat	kt
Domestic Extraction Used - Primary Crops - Cabbages	kt
Domestic Extraction Used - Primary Crops - Canary Seed	kt
Domestic Extraction Used - Primary Crops - Carobs	kt
Domestic Extraction Used - Primary Crops - Carrots	kt
Domestic Extraction Used - Primary Crops - Cashew nuts, with shell	kt
Domestic Extraction Used - Primary Crops - Cashewapple	kt
Domestic Extraction Used - Primary Crops - Cassava	kt
Domestic Extraction Used - Primary Crops - Cassava leaves	kt
Domestic Extraction Used - Primary Crops - Castor oil seed	kt
Domestic Extraction Used - Primary Crops - Cauliflower	kt
Domestic Extraction Used - Primary Crops - Cereals nec	kt
Domestic Extraction Used - Primary Crops - Cherries	kt
Domestic Extraction Used - Primary Crops - Chestnuts	kt
Domestic Extraction Used - Primary Crops - Chick peas	kt
Domestic Extraction Used - Primary Crops - Chicory Roots	kt
Domestic Extraction Used - Primary Crops - Chillies and peppers, dry	kt
Domestic Extraction Used - Primary Crops - Chillies and peppers, green	kt
Domestic Extraction Used - Primary Crops - Cinnamon	kt
Domestic Extraction Used - Primary Crops - Citrus Fruit nec	kt
Domestic Extraction Used - Primary Crops - Cloves	kt
Domestic Extraction Used - Primary Crops - Cocoa Beans	kt
Domestic Extraction Used - Primary Crops - Coconuts	kt
Domestic Extraction Used - Primary Crops - Coffee, Green	kt
Domestic Extraction Used - Primary Crops - Coir	kt
Domestic Extraction Used - Primary Crops - Cotton Lint	kt
Domestic Extraction Used - Primary Crops - Cottonseed	kt
Domestic Extraction Used - Primary Crops - Cow peas, dry	kt
Domestic Extraction Used - Primary Crops - Cranberries	kt
Domestic Extraction Used - Primary Crops - Cucumbers and Gherkins	kt
Domestic Extraction Used - Primary Crops - Currants	kt
Domestic Extraction Used - Primary Crops - Dates	kt
Domestic Extraction Used - Primary Crops - Eggplants	kt
Domestic Extraction Used - Primary Crops - Fibre Crops nes	kt
Domestic Extraction Used - Primary Crops - Figs	kt
Domestic Extraction Used - Primary Crops - Flax Fibre and Tow	kt
Domestic Extraction Used - Primary Crops - Fonio	kt
Domestic Extraction Used - Primary Crops - Fruit Fresh Nes	kt
Domestic Extraction Used - Primary Crops - Fruit, tropical fresh nes	kt
Domestic Extraction Used - Primary Crops - Garlic	kt
Domestic Extraction Used - Primary Crops - Ginger	kt
Domestic Extraction Used - Primary Crops - Gooseberries	kt
Domestic Extraction Used - Primary Crops - Grapefruit and Pomelos	kt
Domestic Extraction Used - Primary Crops - Grapes	kt
Domestic Extraction Used - Primary Crops - Groundnuts in Shell	kt
Domestic Extraction Used - Primary Crops - Hazelnuts	kt
Domestic Extraction Used - Primary Crops - Hemp Fibre and Tow	kt
Domestic Extraction Used - Primary Crops - Hempseed	kt
Domestic Extraction Used - Primary Crops - Hops	kt
Domestic Extraction Used - Primary Crops - Jojoba Seeds	kt
Domestic Extraction Used - Primary Crops - Jute and Jute-like Fibres	kt
Domestic Extraction Used - Primary Crops - Kapok Fibre	kt
Domestic Extraction Used - Primary Crops - Karite Nuts	kt
Domestic Extraction Used - Primary Crops - Kiwi Fruit	kt
Domestic Extraction Used - Primary Crops - Kolanuts	kt
Domestic Extraction Used - Primary Crops - Leeks and other Alliac. Veg.	kt
Domestic Extraction Used - Primary Crops - Leguminous vegetables, nes	kt
Domestic Extraction Used - Primary Crops - Lemons and Limes	kt
Domestic Extraction Used - Primary Crops - Lentils	kt
Domestic Extraction Used - Primary Crops - Lettuce	kt
Domestic Extraction Used - Primary Crops - Linseed	kt
Domestic Extraction Used - Primary Crops - Lupins	kt
Domestic Extraction Used - Primary Crops - Maize	kt
Domestic Extraction Used - Primary Crops - Maize, green	kt
Domestic Extraction Used - Primary Crops - Mangoes, mangosteens, guavas	kt
Domestic Extraction Used - Primary Crops - Mate	kt
Domestic Extraction Used - Primary Crops - Melonseed	kt
Domestic Extraction Used - Primary Crops - Millet	kt
Domestic Extraction Used - Primary Crops - Mixed Grain	kt
Domestic Extraction Used - Primary Crops - Mushrooms	kt
Domestic Extraction Used - Primary Crops - Mustard Seed	kt
Domestic Extraction Used - Primary Crops - Natural Rubber	kt
Domestic Extraction Used - Primary Crops - Nutmeg, mace and cardamoms	kt
Domestic Extraction Used - Primary Crops - Nuts, nes	kt
Domestic Extraction Used - Primary Crops - Oats	kt
Domestic Extraction Used - Primary Crops - Oil Palm Fruit	kt
Domestic Extraction Used - Primary Crops - Oilseeds nec	kt
Domestic Extraction Used - Primary Crops - Okra	kt
Domestic Extraction Used - Primary Crops - Olives	kt
Domestic Extraction Used - Primary Crops - Onions	kt
Domestic Extraction Used - Primary Crops - Onions, dry	kt
Domestic Extraction Used - Primary Crops - Oranges	kt
Domestic Extraction Used - Primary Crops - Other Bastfibres	kt
Domestic Extraction Used - Primary Crops - Other melons	kt
Domestic Extraction Used - Primary Crops - Papayas	kt
Domestic Extraction Used - Primary Crops - Peaches and Nectarines	kt
Domestic Extraction Used - Primary Crops - Pears	kt
Domestic Extraction Used - Primary Crops - Peas, Green	kt
Domestic Extraction Used - Primary Crops - Peas, dry	kt
Domestic Extraction Used - Primary Crops - Pepper	kt
Domestic Extraction Used - Primary Crops - Peppermint	kt
Domestic Extraction Used - Primary Crops - Persimmons	kt
Domestic Extraction Used - Primary Crops - Pigeon peas	kt
Domestic Extraction Used - Primary Crops - Pineapples	kt
Domestic Extraction Used - Primary Crops - Pistachios	kt
Domestic Extraction Used - Primary Crops - Plantains	kt
Domestic Extraction Used - Primary Crops - Plums	kt
Domestic Extraction Used - Primary Crops - Pome fruit, nes	kt
Domestic Extraction Used - Primary Crops - Poppy Seed	kt
Domestic Extraction Used - Primary Crops - Potatoes	kt
Domestic Extraction Used - Primary Crops - Pulses nec	kt
Domestic Extraction Used - Primary Crops - Pumpkins, Squash, Gourds	kt
Domestic Extraction Used - Primary Crops - Pyrethrum, Dried Flowers	kt
Domestic Extraction Used - Primary Crops - Quinces	kt
Domestic Extraction Used - Primary Crops - Quinoa	kt
Domestic Extraction Used - Primary Crops - Ramie	kt
Domestic Extraction Used - Primary Crops - Rapeseed	kt
Domestic Extraction Used - Primary Crops - Raspberries	kt
Domestic Extraction Used - Primary Crops - Rice	kt
Domestic Extraction Used - Primary Crops - Roots and Tubers, nes	kt
Domestic Extraction Used - Primary Crops - Rye	kt
Domestic Extraction Used - Primary Crops - Safflower Seed	kt
Domestic Extraction Used - Primary Crops - Sesame Seed	kt
Domestic Extraction Used - Primary Crops - Sisal	kt
Domestic Extraction Used - Primary Crops - Sorghum	kt
Domestic Extraction Used - Primary Crops - Sour Cherries	kt
Domestic Extraction Used - Primary Crops - Soybeans	kt
Domestic Extraction Used - Primary Crops - Spices nec	kt
Domestic Extraction Used - Primary Crops - Spinach	kt
Domestic Extraction Used - Primary Crops - Stone Fruit nec,	kt
Domestic Extraction Used - Primary Crops - Strawberries	kt
Domestic Extraction Used - Primary Crops - String beans	kt
Domestic Extraction Used - Primary Crops - Sugar Beets	kt
Domestic Extraction Used - Primary Crops - Sugar Cane	kt
Domestic Extraction Used - Primary Crops - Sugar Crops nes	kt
Domestic Extraction Used - Primary Crops - Sunflower Seed	kt
Domestic Extraction Used - Primary Crops - Sweet Potatoes	kt
Domestic Extraction Used - Primary Crops - Tallowtree Seeds	kt
Domestic Extraction Used - Primary Crops - Tang. Mand Clement. Satsma	kt
Domestic Extraction Used - Primary Crops - Taro	kt
Domestic Extraction Used - Primary Crops - Tea	kt
Domestic Extraction Used - Primary Crops - Tea nes	kt
Domestic Extraction Used - Primary Crops - Tobacco Leaves	kt
Domestic Extraction Used - Primary Crops - Tomatoes	kt
Domestic Extraction Used - Primary Crops - Triticale	kt
Domestic Extraction Used - Primary Crops - Tung Nuts	kt
Domestic Extraction Used - Primary Crops - Vanilla	kt
Domestic Extraction Used - Primary Crops - Vegetables Fresh nec	kt
Domestic Extraction Used - Primary Crops - Vetches	kt
Domestic Extraction Used - Primary Crops - Walnuts	kt
Domestic Extraction Used - Primary Crops - Watermelons	kt
Domestic Extraction Used - Primary Crops - Wheat	kt
Domestic Extraction Used - Primary Crops - Yams	kt
Domestic Extraction Used - Primary Crops - Yautia	kt
Unused Domestic Extraction - Primary Crops - Rice	kt
Unused Domestic Extraction - Primary Crops - Wheat	kt
Unused Domestic Extraction - Primary Crops - Barley	kt
Unused Domestic Extraction - Primary Crops - Buckwheat	kt
Unused Domestic Extraction - Primary Crops - Canary Seed	kt
Unused Domestic Extraction - Primary Crops - Maize	kt
Unused Domestic Extraction - Primary Crops - Millet	kt
Unused Domestic Extraction - Primary Crops - Mixed Grain	kt
Unused Domestic Extraction - Primary Crops - Oats	kt
Unused Domestic Extraction - Primary Crops - Rye	kt
Unused Domestic Extraction - Primary Crops - Sorghum	kt
Unused Domestic Extraction - Primary Crops - Triticale	kt
Unused Domestic Extraction - Primary Crops - Cereals nec	kt
Unused Domestic Extraction - Primary Crops - Fonio	kt
Unused Domestic Extraction - Primary Crops - Quinoa	kt
Unused Domestic Extraction - Primary Crops - Potatoes	kt
Unused Domestic Extraction - Primary Crops - Sweet Potatoes	kt
Unused Domestic Extraction - Primary Crops - Yams	kt
Unused Domestic Extraction - Primary Crops - Lentils	kt
Unused Domestic Extraction - Primary Crops - Lupins	kt
Unused Domestic Extraction - Primary Crops - Vetches	kt
Unused Domestic Extraction - Primary Crops - Pulses nec	kt
Unused Domestic Extraction - Primary Crops - Olives	kt
Unused Domestic Extraction - Primary Crops - Artichokes	kt
Unused Domestic Extraction - Primary Crops - Asparagus	kt
Unused Domestic Extraction - Primary Crops - Cabbages	kt
Unused Domestic Extraction - Primary Crops - Carrots	kt
Unused Domestic Extraction - Primary Crops - Cauliflower	kt
Unused Domestic Extraction - Primary Crops - Chillies and peppers, green	kt
Unused Domestic Extraction - Primary Crops - Cucumbers and Gherkins	kt
Unused Domestic Extraction - Primary Crops - Eggplants	kt
Unused Domestic Extraction - Primary Crops - Garlic	kt
Unused Domestic Extraction - Primary Crops - Leeks and other Alliac. Veg.	kt
Unused Domestic Extraction - Primary Crops - Lettuce	kt
Unused Domestic Extraction - Primary Crops - Mushrooms	kt
Unused Domestic Extraction - Primary Crops - Peas, Green	kt
Unused Domestic Extraction - Primary Crops - Pumpkins, Squash, Gourds	kt
Unused Domestic Extraction - Primary Crops - Spinach	kt
Unused Domestic Extraction - Primary Crops - Tomatoes	kt
Unused Domestic Extraction - Primary Crops - Vegetables Fresh nec	kt
Unused Domestic Extraction - Primary Crops - Apples	kt
Unused Domestic Extraction - Primary Crops - Apricots	kt
Unused Domestic Extraction - Primary Crops - Avocados	kt
Unused Domestic Extraction - Primary Crops - Blueberries	kt
Unused Domestic Extraction - Primary Crops - Carobs	kt
Unused Domestic Extraction - Primary Crops - Cherries	kt
Unused Domestic Extraction - Primary Crops - Currants	kt
Unused Domestic Extraction - Primary Crops - Dates	kt
Unused Domestic Extraction - Primary Crops - Figs	kt
Unused Domestic Extraction - Primary Crops - Gooseberries	kt
Unused Domestic Extraction - Primary Crops - Grapefruit and Pomelos	kt
Unused Domestic Extraction - Primary Crops - Grapes	kt
Unused Domestic Extraction - Primary Crops - Kiwi Fruit	kt
Unused Domestic Extraction - Primary Crops - Lemons and Limes	kt
Unused Domestic Extraction - Primary Crops - Oranges	kt
Unused Domestic Extraction - Primary Crops - Peaches and Nectarines	kt
Unused Domestic Extraction - Primary Crops - Pears	kt
Unused Domestic Extraction - Primary Crops - Persimmons	kt
Unused Domestic Extraction - Primary Crops - Pineapples	kt
Unused Domestic Extraction - Primary Crops - Plums	kt
Unused Domestic Extraction - Primary Crops - Quinces	kt
Unused Domestic Extraction - Primary Crops - Raspberries	kt
Unused Domestic Extraction - Primary Crops - Sour Cherries	kt
Unused Domestic Extraction - Primary Crops - Strawberries	kt
Unused Domestic Extraction - Primary Crops - Tang. Mand Clement. Satsma	kt
Unused Domestic Extraction - Primary Crops - Berries nec	kt
Unused Domestic Extraction - Primary Crops - Citrus Fruit nec	kt
Unused Domestic Extraction - Primary Crops - Stone Fruit nec,	kt
Unused Domestic Extraction - Primary Crops - Almonds	kt
Unused Domestic Extraction - Primary Crops - Chestnuts	kt
Unused Domestic Extraction - Primary Crops - Hazelnuts	kt
Unused Domestic Extraction - Primary Crops - Pistachios	kt
Unused Domestic Extraction - Primary Crops - Walnuts	kt
Unused Domestic Extraction - Primary Crops - Cassava	kt
Unused Domestic Extraction - Primary Crops - Roots and Tubers, nes	kt
Unused Domestic Extraction - Primary Crops - Taro	kt
Unused Domestic Extraction - Primary Crops - Yautia	kt
Unused Domestic Extraction - Primary Crops - Bambara beans	kt
Unused Domestic Extraction - Primary Crops - Beans, dry	kt
Unused Domestic Extraction - Primary Crops - Beans, green	kt
Unused Domestic Extraction - Primary Crops - Broad beans, horse beans, dry	kt
Unused Domestic Extraction - Primary Crops - Chick peas	kt
Unused Domestic Extraction - Primary Crops - Cow peas, dry	kt
Unused Domestic Extraction - Primary Crops - Peas, dry	kt
Unused Domestic Extraction - Primary Crops - Pigeon peas	kt
Unused Domestic Extraction - Primary Crops - String beans	kt
Unused Domestic Extraction - Primary Crops - Coconuts	kt
Unused Domestic Extraction - Primary Crops - Okra	kt
Unused Domestic Extraction - Primary Crops - Onions	kt
Unused Domestic Extraction - Primary Crops - Onions, dry	kt
Unused Domestic Extraction - Primary Crops - Other melons	kt
Unused Domestic Extraction - Primary Crops - Watermelons	kt
Unused Domestic Extraction - Primary Crops - Bananas	kt
Unused Domestic Extraction - Primary Crops - Cashewapple	kt
Unused Domestic Extraction - Primary Crops - Cranberries	kt
Unused Domestic Extraction - Primary Crops - Fruit Fresh Nes	kt
Unused Domestic Extraction - Primary Crops - Fruit, tropical fresh nes	kt
Unused Domestic Extraction - Primary Crops - Mangoes, mangosteens, guavas	kt
Unused Domestic Extraction - Primary Crops - Papayas	kt
Unused Domestic Extraction - Primary Crops - Plantains	kt
Unused Domestic Extraction - Primary Crops - Arecanuts	kt
Unused Domestic Extraction - Primary Crops - Brazil nuts, with shell	kt
Unused Domestic Extraction - Primary Crops - Cashew nuts, with shell	kt
Unused Domestic Extraction - Primary Crops - Kolanuts	kt
Unused Domestic Extraction - Primary Crops - Nuts, nes	kt
Unused Domestic Extraction - Primary Crops - Leguminous vegetables, nes	kt
Unused Domestic Extraction - Primary Crops - Maize, green	kt
Unused Domestic Extraction - Primary Crops - Pome fruit, nes	kt
Unused Domestic Extraction - Primary Crops - Cassava leaves	kt
Unused Domestic Extraction - Primary Crops - Groundnuts in Shell	kt
Unused Domestic Extraction - Primary Crops - Hempseed	kt
Unused Domestic Extraction - Primary Crops - Linseed	kt
Unused Domestic Extraction - Primary Crops - Melonseed	kt
Unused Domestic Extraction - Primary Crops - Mustard Seed	kt
Unused Domestic Extraction - Primary Crops - Poppy Seed	kt
Unused Domestic Extraction - Primary Crops - Rapeseed	kt
Unused Domestic Extraction - Primary Crops - Safflower Seed	kt
Unused Domestic Extraction - Primary Crops - Sesame Seed	kt
Unused Domestic Extraction - Primary Crops - Soybeans	kt
Unused Domestic Extraction - Primary Crops - Sunflower Seed	kt
Unused Domestic Extraction - Primary Crops - Oilseeds nec	kt
Unused Domestic Extraction - Primary Crops - Oil Palm Fruit	kt
Unused Domestic Extraction - Primary Crops - Castor oil seed	kt
Unused Domestic Extraction - Primary Crops - Karite Nuts	kt
Unused Domestic Extraction - Primary Crops - Tung Nuts	kt
Unused Domestic Extraction - Primary Crops - Jojoba Seeds	kt
Unused Domestic Extraction - Primary Crops - Tallowtree Seeds	kt
Unused Domestic Extraction - Primary Crops - Cottonseed	kt
Unused Domestic Extraction - Primary Crops - Sugar Beets	kt
Unused Domestic Extraction - Primary Crops - Sugar Cane	kt
Unused Domestic Extraction - Primary Crops - Sugar Crops nes	kt
Unused Domestic Extraction - Primary Crops - Cotton Lint	kt
Unused Domestic Extraction - Primary Crops - Flax Fibre and Tow	kt
Unused Domestic Extraction - Primary Crops - Hemp Fibre and Tow	kt
Unused Domestic Extraction - Primary Crops - Abaca	kt
Unused Domestic Extraction - Primary Crops - Agave Fibres nes	kt
Unused Domestic Extraction - Primary Crops - Coir	kt
Unused Domestic Extraction - Primary Crops - Fibre Crops nes	kt
Unused Domestic Extraction - Primary Crops - Ramie	kt
Unused Domestic Extraction - Primary Crops - Sisal	kt
Unused Domestic Extraction - Primary Crops - Kapok Fibre	kt
Unused Domestic Extraction - Primary Crops - Jute and Jute-like Fibres	kt
Unused Domestic Extraction - Primary Crops - Other Bastfibres	kt
Unused Domestic Extraction - Primary Crops - Anise, Badian, Fennel	kt
Unused Domestic Extraction - Primary Crops - Chicory Roots	kt
Unused Domestic Extraction - Primary Crops - Coffee, Green	kt
Unused Domestic Extraction - Primary Crops - Hops	kt
Unused Domestic Extraction - Primary Crops - Peppermint	kt
Unused Domestic Extraction - Primary Crops - Pyrethrum, Dried Flowers	kt
Unused Domestic Extraction - Primary Crops - Tea	kt
Unused Domestic Extraction - Primary Crops - Spices nec	kt
Unused Domestic Extraction - Primary Crops - Cocoa Beans	kt
Unused Domestic Extraction - Primary Crops - Mate	kt
Unused Domestic Extraction - Primary Crops - Tobacco Leaves	kt
Unused Domestic Extraction - Primary Crops - Natural Rubber	kt
Unused Domestic Extraction - Primary Crops - Cinnamon	kt
Unused Domestic Extraction - Primary Crops - Cloves	kt
Unused Domestic Extraction - Primary Crops - Ginger	kt
Unused Domestic Extraction - Primary Crops - Nutmeg, mace and cardamoms	kt
Unused Domestic Extraction - Primary Crops - Vanilla	kt
Unused Domestic Extraction - Primary Crops - Pepper	kt
Unused Domestic Extraction - Primary Crops - Chillies and peppers, dry	kt
Unused Domestic Extraction - Primary Crops - Tea nes	kt
Unused Domestic Extraction - Crop residues - Feed	kt
Unused Domestic Extraction - Crop residues - Straw	kt
Unused Domestic Extraction - Fishery - Aquatic plants	kt
Unused Domestic Extraction - Fishery - Inland waters fish catch	kt
Unused Domestic Extraction - Fishery - Marine fish catch	kt
Unused Domestic Extraction - Fishery - Other (e.g. Aquatic mammals)	kt
Unused Domestic Extraction - Fodder crops - Alfalfa for Forage and Silage	kt
Unused Domestic Extraction - Fodder crops - Beets for Fodder	kt
Unused Domestic Extraction - Fodder crops - Cabbage for Fodder	kt
Unused Domestic Extraction - Fodder crops - Carrots for Fodder	kt
Unused Domestic Extraction - Fodder crops - Clover for Forage and Silage	kt
Unused Domestic Extraction - Fodder crops - Forage Products nec	kt
Unused Domestic Extraction - Fodder crops - Grasses nec for Forage and Silage	kt
Unused Domestic Extraction - Fodder crops - Green Oilseeds for Fodder	kt
Unused Domestic Extraction - Fodder crops - Leguminous nec for forage and Silage	kt
Unused Domestic Extraction - Fodder crops - Maize for Forage and Silage	kt
Unused Domestic Extraction - Fodder crops - Other grasses	kt
Unused Domestic Extraction - Fodder crops - Rye Grass, Forage and Silage	kt
Unused Domestic Extraction - Fodder crops - Sorghum for Forage and Silage	kt
Unused Domestic Extraction - Fodder crops - Swedes for Fodder	kt
Unused Domestic Extraction - Fodder crops - Turnips for Fodder	kt
Unused Domestic Extraction - Fodder crops - Vegetables and Roots, Fodder	kt
Unused Domestic Extraction - Forestry - Coniferous wood - Industrial roundwood	kt
Unused Domestic Extraction - Forestry - Coniferous wood - Wood fuel	kt
Unused Domestic Extraction - Forestry - Kapok Fruit	kt
Unused Domestic Extraction - Forestry - Natural Gums	kt
Unused Domestic Extraction - Forestry - Non-coniferous wood - Industrial roundwood	kt
Unused Domestic Extraction - Forestry - Non-coniferous wood - Wood fuel	kt
Unused Domestic Extraction - Forestry - Raw materials other than wood	kt
Unused Domestic Extraction - Fossil Fuels - Anthracite	kt
Unused Domestic Extraction - Fossil Fuels - Coking coal	kt
Unused Domestic Extraction - Fossil Fuels - Crude oil	kt
Unused Domestic Extraction - Fossil Fuels - Lignite/brown coal	kt
Unused Domestic Extraction - Fossil Fuels - Natural gas	kt
Unused Domestic Extraction - Fossil Fuels - Natural gas liquids	kt
Unused Domestic Extraction - Fossil Fuels - Other bituminous coal	kt
Unused Domestic Extraction - Fossil Fuels - Peat	kt
Unused Domestic Extraction - Fossil Fuels - Sub-bituminous coal	kt
Unused Domestic Extraction - Grazing	kt
Unused Domestic Extraction - Metal Ores - Bauxite and aluminium ores	kt
Unused Domestic Extraction - Metal Ores - Copper ores	kt
Unused Domestic Extraction - Metal Ores - Gold ores	kt
Unused Domestic Extraction - Metal Ores - Iron ores	kt
Unused Domestic Extraction - Metal Ores - Lead ores	kt
Unused Domestic Extraction - Metal Ores - Nickel ores	kt
Unused Domestic Extraction - Metal Ores - Other non-ferrous metal ores	kt
Unused Domestic Extraction - Metal Ores - PGM ores	kt
Unused Domestic Extraction - Metal Ores - Silver ores	kt
Unused Domestic Extraction - Metal Ores - Tin ores	kt
Unused Domestic Extraction - Metal Ores - Uranium and thorium ores	kt
Unused Domestic Extraction - Metal Ores - Zinc ores	kt
Unused Domestic Extraction - Non-Metallic Minerals - Building stones	kt
Unused Domestic Extraction - Non-Metallic Minerals - Chemical and fertilizer minerals	kt
Unused Domestic Extraction - Non-Metallic Minerals - Clays and kaolin	kt
Unused Domestic Extraction - Non-Metallic Minerals - Gravel and sand	kt
Unused Domestic Extraction - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite	kt
Unused Domestic Extraction - Non-Metallic Minerals - Other minerals	kt
Unused Domestic Extraction - Non-Metallic Minerals - Salt	kt
Unused Domestic Extraction - Non-Metallic Minerals - Slate	kt
Unused Domestic Extraction - Primary Crops - Kapokseed in Shell	kt
Water Consumption Green - Agriculture - rice	Mm3
Water Consumption Green - Agriculture - wheat	Mm3
Water Consumption Green - Agriculture - other cereals	Mm3
Water Consumption Green - Agriculture - roots and tubers	Mm3
Water Consumption Green - Agriculture - sugar crops	Mm3
Water Consumption Green - Agriculture - pulses	Mm3
Water Consumption Green - Agriculture - nuts	Mm3
Water Consumption Green - Agriculture - oil crops	Mm3
Water Consumption Green - Agriculture - vegetables	Mm3
Water Consumption Green - Agriculture - fruits	Mm3
Water Consumption Green - Agriculture - fibres	Mm3
Water Consumption Green - Agriculture - other crops	Mm3
Water Consumption Green - Agriculture - fodder crops	Mm3
Water Consumption Blue - Agriculture - rice	Mm3
Water Consumption Blue - Agriculture - wheat	Mm3
Water Consumption Blue - Agriculture - other cereals	Mm3
Water Consumption Blue - Agriculture - roots and tubers	Mm3
Water Consumption Blue - Agriculture - sugar crops	Mm3
Water Consumption Blue - Agriculture - pulses	Mm3
Water Consumption Blue - Agriculture - nuts	Mm3
Water Consumption Blue - Agriculture - oil crops	Mm3
Water Consumption Blue - Agriculture - vegetables	Mm3
Water Consumption Blue - Agriculture - fruits	Mm3
Water Consumption Blue - Agriculture - fibres	Mm3
Water Consumption Blue - Agriculture - other crops	Mm3
Water Consumption Blue - Agriculture - fodder crops	Mm3
Water Consumption Blue - Livestock - dairy cattle	Mm3
Water Consumption Blue - Livestock - nondairy cattle	Mm3
Water Consumption Blue - Livestock - pigs	Mm3
Water Consumption Blue - Livestock - sheep	Mm3
Water Consumption Blue - Livestock - goats	Mm3
Water Consumption Blue - Livestock - buffaloes	Mm3
Water Consumption Blue - Livestock - camels	Mm3
Water Consumption Blue - Livestock - horses	Mm3
Water Consumption Blue - Livestock - chicken	Mm3
Water Consumption Blue - Livestock - turkeys	Mm3
Water Consumption Blue - Livestock - ducks	Mm3
Water Consumption Blue - Livestock - geese	Mm3
Water Consumption Blue - Manufacturing - Products of meat cattle	Mm3
Water Consumption Blue - Manufacturing - Products of meat pigs	Mm3
Water Consumption Blue - Manufacturing - Products of meat poultry	Mm3
Water Consumption Blue - Manufacturing - Meat products nec	Mm3
Water Consumption Blue - Manufacturing - products of Vegetable oils and fats	Mm3
Water Consumption Blue - Manufacturing - Dairy products	Mm3
Water Consumption Blue - Manufacturing - Processed rice	Mm3
Water Consumption Blue - Manufacturing - Sugar	Mm3
Water Consumption Blue - Manufacturing - Food products nec	Mm3
Water Consumption Blue - Manufacturing - Beverages	Mm3
Water Consumption Blue - Manufacturing - Fish products	Mm3
Water Consumption Blue - Manufacturing - Tobacco products (16)	Mm3
Water Consumption Blue - Manufacturing - Textiles (17)	Mm3
Water Consumption Blue - Manufacturing - Wearing apparel; furs (18)	Mm3
Water Consumption Blue - Manufacturing - Leather and leather products (19)	Mm3
Water Consumption Blue - Manufacturing - Pulp	Mm3
Water Consumption Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp	Mm3
Water Consumption Blue - Manufacturing - Paper and paper products	Mm3
Water Consumption Blue - Manufacturing - Printed matter and recorded media (22)	Mm3
Water Consumption Blue - Manufacturing - Plastics, basic	Mm3
Water Consumption Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	Mm3
Water Consumption Blue - Manufacturing - N-fertiliser	Mm3
Water Consumption Blue - Manufacturing - P- and other fertiliser	Mm3
Water Consumption Blue - Manufacturing - Chemicals nec	Mm3
Water Consumption Blue - Manufacturing - Rubber and plastic products (25)	Mm3
Water Consumption Blue - Manufacturing - Glass and glass products	Mm3
Water Consumption Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass	Mm3
Water Consumption Blue - Manufacturing - Ceramic goods	Mm3
Water Consumption Blue - Manufacturing - Bricks, tiles and construction products, in baked clay	Mm3
Water Consumption Blue - Manufacturing - Cement, lime and plaster	Mm3
Water Consumption Blue - Manufacturing - Ash for treatment, Re-processing of ash into clinker	Mm3
Water Consumption Blue - Manufacturing - Other non-metallic mineral products	Mm3
Water Consumption Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof	Mm3
Water Consumption Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel	Mm3
Water Consumption Blue - Manufacturing - Precious metals	Mm3
Water Consumption Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	Mm3
Water Consumption Blue - Manufacturing - Aluminium and aluminium products	Mm3
Water Consumption Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	Mm3
Water Consumption Blue - Manufacturing - Lead, zinc and tin and products thereof	Mm3
Water Consumption Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead	Mm3
