region	Russia	Russia	Russia	Russia	Russia	Russia	Russia	China	China	China	China	China	China	China	France	France	France	France	France	France	France	Italy	Italy	Italy	Italy	Italy	Italy	Italy	Germany	Germany	Germany	Germany	Germany	Germany	Germany	Norway	Norway	Norway	Norway	Norway	Norway	Norway	Spain	Spain	Spain	Spain	Spain	Spain	Spain	UK	UK	UK	UK	UK	UK	UK	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Australia	Australia	Australia	Australia	Australia	Australia	Australia	Canada	Canada	Canada	Canada	Canada	Canada	Canada	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	US	US	US	US	US	US	US	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Africa	Africa	Africa	Africa	Africa	Africa	Africa
Operating surplus: Remaining net operating surplus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: Low-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: Low-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: Medium-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: Medium-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: High-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: High-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Low-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Low-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Medium-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Medium-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: High-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: High-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: Vulnerable employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Vulnerable employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO2 - combustion - air	228338673123	10232198550.8	9413497774.84	0	0	0	0	426085950787	12626083537.2	18767246782.3	0	0	0	0	76094762414.6	3514342121.29	7333908983.5	0	0	0	0	72841753419.1	4577479916.03	9673289652.4	0	0	0	0	184534975815	5221465536.64	12366086373.3	0	0	0	0	3760024011.39	1338651.29981	2814793.09513	0	0	0	0	60134724601.2	848338700.89	2105600215.26	0	0	0	0	0	0	0	0	0	0	0	400843501837	15995307270.4	30999453682.1	0	0	0	0	1.07993745136e+12	30653040140.7	52461677626.6	0	0	0	0	45896218717.3	1368899677.77	1971847294.35	0	0	0	0	114437494840	2605925697.65	9621353765.7	0	0	0	0	84776248063	38374612.0806	172000674.427	0	0	0	0	1.44343482694e+12	24837742554.7	45294714108.8	0	0	0	0	270814806523	192674725.205	283035568.77	0	0	0	0	311613865259	24194346.2877	645124589.244	0	0	0	0
CH4 - combustion - air	7365223.97232	205448.984741	618533.229044	0	0	0	0	2803812826.15	107690503.889	159800428.426	0	0	0	0	46853701.9675	3622131.22237	7776568.24824	0	0	0	0	43790196.5362	3622102.54757	7357811.57827	0	0	0	0	30716042.5058	2629065.55816	6231326.99997	0	0	0	0	1367815.74624	1711.7313279	3599.27153784	0	0	0	0	11681617.4604	679647.18357	1543533.63573	0	0	0	0	0	0	0	0	0	0	0	285568638.292	22124648.0853	41073675.3572	0	0	0	0	3426136355.29	48194675.0636	119304091.023	0	0	0	0	5388882.14564	1016247.32205	1462320.99341	0	0	0	0	9711906.20572	622656.555111	2298914.07581	0	0	0	0	139486431.474	169020.702147	759882.778422	0	0	0	0	71185956.8928	5610212.8668	10230921.2414	0	0	0	0	241154278.175	225226.844645	383724.229447	0	0	0	0	3525508717.5	10240.1254242	13484318.1906	0	0	0	0
N2O - combustion - air	5538395.32101	210937.478122	96292.954797	0	0	0	0	15960018.0801	32419.8435817	46701.3591041	0	0	0	0	4853993.68321	12325.1479281	40415.6532291	0	0	0	0	3520311.30157	24687.158593	28681.3813733	0	0	0	0	1961194.22322	4417.67957591	12496.8371032	0	0	0	0	203445.299363	2.86940400437	6.03351939357	0	0	0	0	2901902.70385	2452.79179554	23343.5262342	0	0	0	0	0	0	0	0	0	0	0	12977939.5186	80000.1486926	113021.653252	0	0	0	0	88074742.9332	928573.41827	2099665.0419	0	0	0	0	3877931.2037	21250.0197586	30421.6719549	0	0	0	0	10009115.2534	21054.5951198	77735.881942	0	0	0	0	6397523.77819	196.968330866	874.4281453	0	0	0	0	116661415.216	193310.513449	352525.774902	0	0	0	0	18925340.9441	1365.83644807	4728.47808704	0	0	0	0	54772632.2473	84.0089619399	192092.439408	0	0	0	0
SOx - combustion - air	65341314.949	4581600.57087	8407203.86944	0	0	0	0	1472867633.83	1224174.61598	1790207.80646	0	0	0	0	17931842.428	268359.878199	621558.056744	0	0	0	0	14897245.3006	417563.487562	744556.331487	0	0	0	0	42656265.1684	399460.263032	1022726.60878	0	0	0	0	686835.298085	102.411477502	215.341455818	0	0	0	0	13034427.1602	64900.8593889	2274283.80625	0	0	0	0	0	0	0	0	0	0	0	361414704.462	7069180.71719	5778507.89954	0	0	0	0	646339760.41	61848174.3208	99357332.7297	0	0	0	0	2477687.44138	134973.307186	201616.258099	0	0	0	0	12957095.7741	199362.51892	736067.722146	0	0	0	0	10427838.8378	2935.85971781	13034.4349053	0	0	0	0	64790758.1258	1900173.63983	3465203.07084	0	0	0	0	46850732.839	15153.6213844	34699.4207334	0	0	0	0	499246534.649	1191.68219516	1546560.24128	0	0	0	0
NOx - combustion - air	672868316.726	19028898.0123	37320841.9867	0	0	0	0	776138637.102	11525865.0355	17100805.183	0	0	0	0	225080800.798	3313976.51698	7014958.48727	0	0	0	0	192880111.738	2952874.92293	6058703.95983	0	0	0	0	535040133.455	3025628.4653	7286022.42017	0	0	0	0	13824883.882	1193.0938501	2508.72824878	0	0	0	0	256973534.191	756095.098832	2030556.25377	0	0	0	0	0	0	0	0	0	0	0	1074019896.04	11851599.6203	23095448.6718	0	0	0	0	2375125196.04	44889936.4655	69221528.365	0	0	0	0	105106388.683	3241972.85279	4666500.67567	0	0	0	0	209649114.587	6726180.88247	24833772.6741	0	0	0	0	206172705.442	34202.0616908	151850.614283	0	0	0	0	2934308790.56	37446682.3325	68288684.7241	0	0	0	0	571137032.324	171887.029261	268832.154584	0	0	0	0	945994502.035	2983.63766572	2050013.96958	0	0	0	0
NH3 - combustion - air	22188307.9725	77628.7319264	122581.437411	0	0	0	0	59732784.8822	82065.0714672	118525.71669	0	0	0	0	6371482.60212	14381.4075265	44922.1130659	0	0	0	0	8298587.07343	32950.0860128	40610.1502852	0	0	0	0	14281732.5913	21407.0779577	58812.3513298	0	0	0	0	669846.396063	5.48823171046	11.5401499444	0	0	0	0	2799949.39717	3478.03745463	47019.4368809	0	0	0	0	0	0	0	0	0	0	0	36731304.629	156965.812912	227050.193104	0	0	0	0	219113979.735	1473893.0718	3362867.4099	0	0	0	0	7882720.12936	11979.1113126	17117.6879118	0	0	0	0	19411743.2585	10683.8613763	39445.9861108	0	0	0	0	14378747.1286	157.343491443	698.524100335	0	0	0	0	235877836.217	101830.317069	185700.253922	0	0	0	0	48782018.9092	882.674651156	3914.12026223	0	0	0	0	106320670.616	139.078144024	320140.011306	0	0	0	0
CO - combustion - air	2363747528.95	22092891.5312	39074098.9861	0	0	0	0	26691835542.3	26005956.4536	36485586.7289	0	0	0	0	779963532.432	1938363.62314	7307603.28954	0	0	0	0	1435833276.66	9037137.75018	6631035.97328	0	0	0	0	1388797985.41	3666063.83041	9745693.39083	0	0	0	0	56852017.5122	739.718187062	1555.41151424	0	0	0	0	623892051.653	468778.961276	15092656.6972	0	0	0	0	0	0	0	0	0	0	0	7335270399.56	51822960.1693	58591910.6735	0	0	0	0	61222145664.9	863979910.591	2076382716.08	0	0	0	0	645230584.695	3021791.12699	4347383.09726	0	0	0	0	1641505897.56	1440005.45497	5316666.21958	0	0	0	0	1916806468.51	21210.3538153	95601.793456	0	0	0	0	17507317015.5	13724955.7789	25029164.6591	0	0	0	0	5959995534.14	139850.609769	1135308.49387	0	0	0	0	32854801528.4	47729.4363249	114277335.709	0	0	0	0
Benzo(a)pyrene - combustion - air	36727.9444424	2634.04078893	5075.7131107	0	0	0	0	902462.098165	530.942917327	728.655339907	0	0	0	0	38013.13683	0.00704533152877	245.721009117	0	0	0	0	29149.837729	192.546599444	12.9634753473	0	0	0	0	10680.369101	0.010487148841	33.2627758919	0	0	0	0	8669.14348692	2.68863891351e-06	5.65342315069e-06	0	0	0	0	8552.22158284	0.00170386152344	1070.00054522	0	0	0	0	0	0	0	0	0	0	0	204379.625506	2030.32719337	1926.57745766	0	0	0	0	1730120.59623	54348.2660935	93143.4755355	0	0	0	0	6779.01705388	112.088445035	159.328574985	0	0	0	0	16866.568417	0.139839930752	0.516908053567	0	0	0	0	32926.4753867	0.000290169183586	0.793161107125	0	0	0	0	66426.9295344	0.0498858225183	0.0909730046551	0	0	0	0	130822.139649	1.39743120614	40.6615334136	0	0	0	0	1360355.531	2.00215491615	5003.80921461	0	0	0	0
Benzo(b)fluoranthene - combustion - air	51331.0877865	3714.58019593	7250.1466006	0	0	0	0	1110172.04799	556.24190303	763.377289407	0	0	0	0	40175.8814488	0.0105679972932	257.427773699	0	0	0	0	30621.4797443	201.718884381	13.5995889572	0	0	0	0	11986.3168066	0.0157307232616	35.710867245	0	0	0	0	9122.09729673	4.03295837027e-06	8.48013472604e-06	0	0	0	0	9072.16939985	0.00255579228516	1487.01047913	0	0	0	0	0	0	0	0	0	0	0	246598.953117	2748.63733697	2390.6731487	0	0	0	0	1869171.31221	70812.8632945	115412.333577	0	0	0	0	7105.70326204	117.427732174	167.043351135	0	0	0	0	17798.4992356	0.232765934395	0.86002947904	0	0	0	0	34975.0112825	0.000338854177933	1.13796715205	0	0	0	0	70063.1573226	0.0748287337775	0.136459506983	0	0	0	0	139730.175289	1.46420575154	42.5996709713	0	0	0	0	1461717.95107	2.15763979521	5352.24431151	0	0	0	0
Benzo(k)fluoranthene - combustion - air	20946.6633213	1490.86659748	2874.54410111	0	0	0	0	535440.854125	328.700194994	451.103943408	0	0	0	0	23400.1301631	0.0105679972932	152.12560371	0	0	0	0	18020.2969022	119.202600086	8.04065641592	0	0	0	0	6387.57490305	0.0157307232616	20.2534237666	0	0	0	0	5349.72530029	4.03295837027e-06	8.48013472604e-06	0	0	0	0	5257.94565344	0.00255579228516	611.435090384	0	0	0	0	0	0	0	0	0	0	0	121122.336737	1170.38328567	1133.55761967	0	0	0	0	1057422.20134	31593.958148	55039.6660094	0	0	0	0	4194.92113935	69.3903441831	98.6178248116	0	0	0	0	10397.5707911	0.232557809161	0.859002104508	0	0	0	0	20298.9818908	0.000247526725373	0.44864008495	0	0	0	0	40922.1879536	0.0748287337775	0.136459506983	0	0	0	0	80392.6854729	0.865401039522	25.1714743584	0	0	0	0	836453.760177	1.23078046137	3082.25025133	0	0	0	0
Indeno(1,2,3-cd)pyrene - combustion - air	18305.4204819	1306.76744701	2448.00851518	0	0	0	0	521565.811892	353.981142279	485.798580782	0	0	0	0	25327.6724293	0.0105679972932	163.825016572	0	0	0	0	19417.5268401	128.372061066	8.65360798255	0	0	0	0	6947.46420606	0.0157307232616	22.2382627508	0	0	0	0	5781.40449613	4.03295837027e-06	8.48013472604e-06	0	0	0	0	5685.69595061	0.00255579228516	535.085717682	0	0	0	0	0	0	0	0	0	0	0	121735.983663	1051.24542423	1087.3237193	0	0	0	0	1135981.06853	29259.9277834	53153.5821788	0	0	0	0	4519.55063104	74.7281468142	106.161741494	0	0	0	0	11234.6684838	0.232580935883	0.859116265606	0	0	0	0	21749.8977676	0.000257674620721	0.379714195076	0	0	0	0	44309.1828736	0.0748287337775	0.136459506983	0	0	0	0	86331.0579967	0.931921136057	27.107540154	0	0	0	0	890202.814819	1.30600055044	3282.27312146	0	0	0	0
PCBs - combustion - air	25.1410790371	1.76805454428	3.68285641863	0	0	0	0	454.314996312	0.151508882086	0.207927794211	0	0	0	0	10.0539383791	0	0.0689516208823	0	0	0	0	8.25369846475	0.0549600329403	0.00370650230899	0	0	0	0	2.51529015343	0	0.00732884656652	0	0	0	0	2.371473	0	0	0	0	0	0	2.23077244519	0	0.732776214764	0	0	0	0	0	0	0	0	0	0	0	90.3075375082	1.29956486541	1.33983304404	0	0	0	0	495.466768152	36.9881315669	53.623444384	0	0	0	0	1.91643293485	0.0318344757948	0.0453865893526	0	0	0	0	4.58532718443	1.3738646814e-07	6.78184743216e-07	0	0	0	0	9.54266476169	5.94920139457e-08	0.000580178815039	0	0	0	0	17.67576	0	0	0	0	0	0	36.9180266257	0.000390145781222	0.0113551834954	0	0	0	0	415.585336259	0.000627124070271	1.52615250765	0	0	0	0
PCDD_F - combustion - air	0.111240453125	0.00683520380901	0.0150935888097	0	0	0	0	3.05545062711	0.00179237980309	0.00246239786153	0	0	0	0	0.119754751102	6.29047457926e-06	0.000832149852173	0	0	0	0	0.0961172723879	0.000650001220761	6.04974489587e-05	0	0	0	0	0.0262540562307	9.36352575092e-06	0.000112505032191	0	0	0	0	0.0204205973729	2.40057045849e-09	5.04769924169e-09	0	0	0	0	0.0267939173991	1.52130493164e-06	0.00370774200205	0	0	0	0	0	0	0	0	0	0	0	0.62122290822	0.00698724680155	0.00649079493602	0	0	0	0	5.29687557467	0.16110872469	0.287387955079	0	0	0	0	0.0225146169514	0.000376075699332	0.000534664885888	0	0	0	0	0.0552505794006	0.000153938440457	0.000568359045536	0	0	0	0	0.108463914852	6.95265704722e-08	3.06316126222e-06	0	0	0	0	0.210470714162	4.45409129628e-05	8.12258970135e-05	0	0	0	0	0.418099858027	5.00201076769e-06	0.000136058463053	0	0	0	0	4.49869850476	6.6775107844e-06	0.0167202358212	0	0	0	0
