region,sector,0
Russia,Paddy rice,958.8255518963956
Russia,Wheat,284332.5026570246
Russia,Cereal grains nec,81072.02584539165
Russia,"Vegetables, fruit, nuts",461532.7953908812
Russia,Oil seeds,1111.2775484443375
Russia,Crops nec,32401.91626521709
Russia,Cattle,4997.271056094009
Russia,Meat animals nec,36851.03566316892
Russia,Animal products nec,171773.73791474572
Russia,Raw milk,102308.81122023793
Russia,"Products of forestry, logging and related services (02)",92180.66438783899
Russia,Fish and other fishing products; services incidental of fishing (05),330645.4454078299
Russia,"Coal, peat",10777560.101591554
Russia,"Crude petroleum and services related to crude oil extraction, excluding surveying",23827343.068657544
Russia,"Natural gas and services related to natural gas extraction, excluding surveying",29111788.67718629
Russia,Mining & Quarrying,671489.9201845746
Russia,Meat products,25543.270113427607
Russia,products of Vegetable oils and fats,30080.468935744626
Russia,Dairy products,19774.55903926401
Russia,"Other food, beverages, tobacco",1149447.472842504
Russia,"Textiles, apparel, furs, leather",116385.71759804543
Russia,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,260353.65017656746
Russia,Pulp,220726.31089168985
Russia,Paper and paper products,391841.3597869063
Russia,Printed matter and recorded media (22),133241.25219464666
Russia,Coke and Tar,290378.2210695362
Russia,Petroleum products,29702178.261339854
Russia,Nuclear fuel,27668.82590104465
Russia,"Plastics, basic",4582055.909456106
Russia,N-fertiliser,29319.91463129055
Russia,P- and other fertiliser,321554.15878647217
Russia,Chemicals nec,4021335.2314844094
Russia,Charcoal,0.010806819470282477
Russia,Biofuels,10.728444669515442
Russia,Rubber and plastic products (25),71785.21499191519
Russia,"Glass, tiles, ceramics, bricks",669610.6162355582
Russia,"Cement, lime and plaster",1119059.703937042
Russia,Other non-metallic mineral products,409984.2901402281
Russia,Basic iron and steel and of ferro-alloys and first products thereof,3026815.9904224863
Russia,Precious metals,27502.32327021144
Russia,Aluminium and aluminium products,532404.1853762972
Russia,Other metals and products thereof,352800.79741762974
Russia,"Secondary lead for treatment, Re-processing of secondary lead into new lead",178202.62236650058
Russia,Foundry work services,545669.7368195523
Russia,"Fabricated metal products, except machinery and equipment (28)",587789.8639393115
Russia,Machinery and equipment n.e.c. (29),37071.284890841416
